predicted_label,predicted_label_probs,season,label,seed,school_ncaa,pace_rank,poss_40min,pace_rating,efficiency_rank,pts_100poss,efficiency_rating,opponent_seed,opponent_school_ncaa,opp_pace_rank,opp_poss_40min,opp_pace_rating,opp_efficiency_rank,opp_pts_100poss,opp_efficiency_rating,pace_rank_diff,pace_stat_diff,pace_rating_diff,eff_rank_diff,eff_stat_diff,eff_rating_diff
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.54735530671394594""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.45264469328605406""
  }]
}",2018,loss,04,Arizona,203.0,69.304,40.144,48.0,13.898,87.537,13,Buffalo,24.0,74.246,93.143,23.0,18.514,93.758,-179.0,4.9419999999999931,52.999,-25.0,4.616,6.2209999999999894
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.60193730877359553""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.39806269122640447""
  }]
}",2018,loss,04,Wichita St.,162.0,69.914,48.599,139.0,2.754,59.031,13,Marshall,9.0,76.384,98.738,142.0,2.566,58.422,-153.0,6.4699999999999989,50.139,3.0,-0.18800000000000017,-0.60900000000000176
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.56924082497229567""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.43075917502770433""
  }]
}",2018,loss,05,Kentucky,210.0,69.203,38.782,11.0,22.887,97.11,09,Kansas St.,327.0,66.145,8.702,44.0,14.652,88.774,117.0,-3.0580000000000069,-30.08,33.0,-8.2350000000000012,-8.3359999999999985
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.4642169572281169""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.535783042771883""
  }]
}",2018,win,05,Clemson,243.0,68.541,30.24,53.0,13.157,86.23,04,Auburn,100.0,71.275,67.107,16.0,22.148,96.682,-143.0,2.7340000000000089,36.867000000000004,-37.0,8.991,10.451999999999998
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.31591125662484842""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.68408874337515158""
  }]
}",2018,win,05,West Virginia,118.0,70.928,62.585,105.0,6.246,69.768,12,Murray St.,147.0,70.295,53.933,41.0,15.137,89.523,29.0,-0.63299999999999557,-8.652000000000001,-64.0,8.891,19.754999999999995
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.52512045685778119""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.47487954314221881""
  }]
}",2018,loss,06,Florida,337.0,65.763,6.765,24.0,17.883,93.089,03,Texas Tech,254.0,68.334,27.752,15.0,22.362,96.811,-83.0,2.570999999999998,20.987,-9.0,4.4789999999999992,3.7220000000000084
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.56322598718004779""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.43677401281995221""
  }]
}",2018,loss,06,Miami (FL),194.0,69.462,42.308,72.0,9.752,79.058,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,148.0,-3.8760000000000048,-36.319,55.0,-5.5660000000000007,-15.488000000000007
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.47700457621763914""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.52299542378236086""
  }]
}",2018,win,07,Nevada,112.0,71.026,63.882,17.0,21.342,96.157,10,Texas,302.0,67.244,16.523,32.0,17.254,92.369,190.0,-3.7819999999999965,-47.358999999999995,15.0,-4.0879999999999974,-3.7879999999999967
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.4172540653883855""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.5827459346116145""
  }]
}",2018,win,07,Nevada,112.0,71.026,63.882,17.0,21.342,96.157,02,Cincinnati,339.0,65.758,6.744,21.0,20.138,95.248,227.0,-5.2680000000000007,-57.138,4.0,-1.2039999999999971,-0.90899999999999181
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.698093685765338""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.30190631423466197""
  }]
}",2018,loss,07,Nevada,112.0,71.026,63.882,17.0,21.342,96.157,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,230.0,-5.4399999999999977,-57.893,110.0,-17.156,-32.586999999999996
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.28443668619937951""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.71556331380062055""
  }]
}",2018,win,07,Rhode Island,81.0,71.72,72.551,111.0,5.699,68.169,10,Oklahoma,78.0,71.807,73.557,28.0,17.681,92.863,-3.0,0.0870000000000033,1.0060000000000002,-83.0,11.982000000000001,24.694000000000003
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.24427673242644704""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.755723267573553""
  }]
}",2018,win,07,Texas A&M,144.0,70.358,54.811,138.0,2.973,59.734,02,North Carolina,5.0,77.468,99.559,8.0,25.137,98.141,-139.0,7.1099999999999994,44.748,-130.0,22.164,38.407000000000004
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.33325790580181036""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.66674209419818964""
  }]
}",2018,win,07,Texas A&M,144.0,70.358,54.811,138.0,2.973,59.734,10,Providence,205.0,69.271,39.697,83.0,8.531,76.028,61.0,-1.0870000000000033,-15.113999999999997,-55.0,5.5580000000000007,16.294000000000004
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.77320705830399838""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.22679294169600162""
  }]
}",2018,loss,08,Virginia Tech,308.0,66.982,14.336,6.0,26.405,98.57,09,Alabama,99.0,71.297,67.387,56.0,12.809,85.583,-209.0,4.3149999999999977,53.051,50.0,-13.596000000000002,-12.986999999999995
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.417147993512025""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.582852006487975""
  }]
}",2018,win,08,Seton Hall,108.0,71.078,64.572,69.0,10.215,80.144,09,NC State,15.0,75.182,96.527,20.0,20.366,95.432,-93.0,4.1039999999999992,31.955,-49.0,10.151,15.287999999999997
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.60306289080983144""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.39693710919016856""
  }]
}",2018,loss,09,NC State,15.0,75.182,96.527,20.0,20.366,95.432,08,Seton Hall,108.0,71.078,64.572,69.0,10.215,80.144,93.0,-4.1039999999999992,-31.955,49.0,-10.151,-15.287999999999997
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.40208361529226821""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.59791638470773179""
  }]
}",2018,win,09,Florida St.,97.0,71.359,68.172,37.0,16.61,91.574,04,Gonzaga,46.0,73.101,86.087,4.0,31.264,99.523,-51.0,1.7420000000000044,17.915000000000006,-33.0,14.654,7.9489999999999981
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.47687821562728555""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.5231217843727145""
  }]
}",2018,win,09,Kansas St.,327.0,66.145,8.702,44.0,14.652,88.774,05,Kentucky,210.0,69.203,38.782,11.0,22.887,97.11,-117.0,3.0580000000000069,30.08,-33.0,8.2350000000000012,8.3359999999999985
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.71744376684204114""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.28255623315795886""
  }]
}",2018,loss,09,Kansas St.,327.0,66.145,8.702,44.0,14.652,88.774,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,15.0,-0.5589999999999975,-2.713,83.0,-10.466,-25.204
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.25611402187097654""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.74388597812902346""
  }]
}",2018,win,09,Alabama,99.0,71.297,67.387,56.0,12.809,85.583,08,Virginia Tech,308.0,66.982,14.336,6.0,26.405,98.57,209.0,-4.3149999999999977,-53.051,-50.0,13.596000000000002,12.986999999999995
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.72382787006577709""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.27617212993422291""
  }]
}",2018,loss,10,Oklahoma,78.0,71.807,73.557,28.0,17.681,92.863,07,Rhode Island,81.0,71.72,72.551,111.0,5.699,68.169,3.0,-0.0870000000000033,-1.0060000000000002,83.0,-11.982000000000001,-24.694000000000003
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.56588182518057106""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.43411817481942894""
  }]
}",2018,loss,10,Texas,302.0,67.244,16.523,32.0,17.254,92.369,07,Nevada,112.0,71.026,63.882,17.0,21.342,96.157,-190.0,3.7819999999999965,47.358999999999995,-15.0,4.0879999999999974,3.7879999999999967
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.6652755987879504""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.3347244012120496""
  }]
}",2018,loss,10,Providence,205.0,69.271,39.697,83.0,8.531,76.028,07,Texas A&M,144.0,70.358,54.811,138.0,2.973,59.734,-61.0,1.0870000000000033,15.113999999999997,55.0,-5.5580000000000007,-16.294000000000004
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.41541088988935831""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.58458911011064174""
  }]
}",2018,win,11,Syracuse,247.0,68.505,29.796,39.0,15.947,90.691,03,Michigan St.,113.0,70.995,63.472,3.0,33.39,99.718,-134.0,2.4900000000000091,33.676,-36.0,17.443,9.027000000000001
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.51817164401230242""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.48182835598769758""
  }]
}",2018,loss,11,UCLA,17.0,74.94,95.824,79.0,8.702,76.466,11,St. Bonaventure,313.0,66.877,13.518,154.0,1.265,54.177,296.0,-8.0630000000000024,-82.306,75.0,-7.437,-22.288999999999994
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.44757708803042151""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.55242291196957849""
  }]
}",2018,win,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,06,Miami (FL),194.0,69.462,42.308,72.0,9.752,79.058,-148.0,3.8760000000000048,36.319,-55.0,5.5660000000000007,15.488000000000007
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.3020937807475611""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.6979062192524389""
  }]
}",2018,win,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,09,Kansas St.,327.0,66.145,8.702,44.0,14.652,88.774,-15.0,0.5589999999999975,2.713,-83.0,10.466,25.204
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.3204177624759324""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.67958223752406766""
  }]
}",2018,win,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,07,Nevada,112.0,71.026,63.882,17.0,21.342,96.157,-230.0,5.4399999999999977,57.893,-110.0,17.156,32.586999999999996
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.24890737938560761""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.75109262061439241""
  }]
}",2018,win,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,03,Tennessee,175.0,69.701,45.625,5.0,27.048,98.753,-167.0,4.1149999999999949,39.636,-122.0,22.862,35.183
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.47570958023741428""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.52429041976258572""
  }]
}",2018,win,11,St. Bonaventure,313.0,66.877,13.518,154.0,1.265,54.177,11,UCLA,17.0,74.94,95.824,79.0,8.702,76.466,-296.0,8.0630000000000024,82.306,-75.0,7.437,22.288999999999994
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.69532258167702454""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.30467741832297546""
  }]
}",2018,loss,12,Murray St.,147.0,70.295,53.933,41.0,15.137,89.523,05,West Virginia,118.0,70.928,62.585,105.0,6.246,69.768,-29.0,0.63299999999999557,8.652000000000001,64.0,-8.891,-19.754999999999995
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.481998737178855""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.518001262821145""
  }]
}",2018,win,13,Buffalo,24.0,74.246,93.143,23.0,18.514,93.758,04,Arizona,203.0,69.304,40.144,48.0,13.898,87.537,179.0,-4.9419999999999931,-52.999,25.0,-4.616,-6.2209999999999894
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.37650392446824388""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.62349607553175612""
  }]
}",2018,win,13,Marshall,9.0,76.384,98.738,142.0,2.566,58.422,04,Wichita St.,162.0,69.914,48.599,139.0,2.754,59.031,153.0,-6.4699999999999989,-50.139,-3.0,0.18800000000000017,0.60900000000000176
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.061487913998980792""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.93851208600101921""
  }]
}",2018,win,16,UMBC,315.0,66.845,13.274,201.0,-3.461,38.709,01,Virginia,353.0,62.151,0.287,1.0,35.608,99.842,38.0,-4.6939999999999955,-12.986999999999998,-200.0,39.068999999999996,61.132999999999996
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.37926013868636321""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.62073986131363679""
  }]
}",2018,win,16,Texas Southern,12.0,75.696,97.704,225.0,-5.112,33.587,16,N.C. Central,209.0,69.204,38.796,241.0,-6.195,30.378,197.0,-6.4920000000000044,-58.907999999999994,16.0,-1.0830000000000002,-3.2090000000000032
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.559623651330956""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.44037634866904396""
  }]
}",2018,loss,16,N.C. Central,209.0,69.204,38.796,241.0,-6.195,30.378,16,Texas Southern,12.0,75.696,97.704,225.0,-5.112,33.587,-197.0,6.4920000000000044,58.907999999999994,-16.0,1.0830000000000002,3.2090000000000032
